PLAYER,POS,TEAM,BYE,FPS,VORP,POS_RANK,PASS_TD
Nicholas Singleton,RB,TEN,9,50.9,-3.5,64,0.0
Jaydon Blue,RB,DAL,14,50.1,-4.2,65,0.0
Ray Davis,RB,BUF,7,49.4,-4.7,66,0.0
Jordan James,RB,SF,8,49.3,-4.8,67,0.0
Ollie Gordon,RB,MIA,6,48.1,-5.8,68,0.0
Jonah Coleman,RB,DEN,10,47.6,-6.2,69,0.0
Brashard Smith,RB,KC,5,45.0,-8.2,70,0.0
Kaelon Black,RB,SF,8,42.8,-10.0,71,0.0
Sean Tucker,RB,TB,10,38.5,-13.4,72,0.0
Malik Davis,RB,DAL,14,38.4,-13.5,73,0.0
Trey Benson,RB,ARI,14,35.4,-15.9,74,0.0
LeQuint Allen,RB,JAX,7,30.6,-19.8,75,0.0
Demond Claiborne,RB,MIN,6,30.4,-19.9,76,0.0
Jaylen Wright,RB,MIA,6,28.5,-21.5,77,0.0
Seth McGowan,RB,IND,13,28.3,-21.6,78,0.0
Isaiah Davis,RB,NYJ,13,27.6,-22.2,79,0.0
Rasheen Ali,RB,BAL,13,25.0,-24.2,80,0.0
Raheim Sanders,RB,CLE,11,24.4,-24.7,81,0.0
Zach Charbonnet,RB,SEA,11,22.4,-26.3,82,0.0
Tahj Brooks,RB,CIN,6,19.9,-28.3,83,0.0
Kendre Miller,RB,NO,8,19.7,-28.5,84,0.0
Devin Singletary,RB,NYG,8,19.5,-28.7,85,0.0
DJ Giddens,RB,IND,13,18.8,-29.2,86,0.0
Eli Heidenreich,RB,PIT,9,18.5,-29.4,87,0.0
Jeremy McNichols,RB,WSH,7,17.6,-30.2,88,0.0
Adam Randall,RB,BAL,13,17.5,-30.3,89,0.0
Jacob Saylors,RB,DET,6,17.2,-30.5,90,0.0
Jawhar Jordan,RB,HOU,8,15.3,-32.0,91,0.0
Tyler Goodson,RB,ATL,11,15.3,-32.0,92,0.0
Will Shipley,RB,PHI,10,14.9,-32.3,93,0.0
Trevor Etienne,RB,CAR,5,14.4,-32.7,94,0.0
Jam Miller,RB,NE,11,13.9,-33.2,95,0.0
Phil Mafah,RB,DAL,14,13.0,-33.9,96,0.0
Roschon Johnson,RB,CHI,10,12.1,-34.5,97,0.0
AJ Dillon,RB,CAR,5,12.1,-34.6,98,0.0
Emari Demercado,RB,KC,5,12.1,-34.6,99,0.0
George Holani,RB,SEA,11,12.1,-34.6,100,0.0
